                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                0.99685,                0.87507,                 1.2366,                0.82757,                0.75614,                0.83258,                0.53462,                 1.3381,                0.91277,                 1.5758,              0.0039702,              0.0039702,              0.0039702
                     59,                0.99283,                0.87514,                 1.2271,                0.83868,                 0.7602,                0.84532,                0.55342,                 1.2692,                0.86191,                 1.5081,               0.003819,               0.003819,               0.003819
                     60,                0.99546,                0.87158,                 1.2389,                0.83872,                0.76001,                0.83938,                0.53675,                 1.3731,                0.99308,                 1.5959,               0.003669,               0.003669,               0.003669
                     61,                0.97381,                0.87013,                 1.2297,                0.81174,                0.78422,                0.85644,                0.56369,                 1.2503,                0.97828,                 1.4887,              0.0035204,              0.0035204,              0.0035204
                     62,                 0.9622,                0.85581,                 1.2265,                0.82367,                0.73359,                0.84128,                0.54565,                 1.3157,                0.90324,                 1.5035,              0.0033732,              0.0033732,              0.0033732
                     63,                0.96385,                0.83561,                 1.2174,                   0.83,                0.76769,                0.84518,                 0.5432,                 1.3105,                 0.8858,                 1.5635,              0.0032278,              0.0032278,              0.0032278
                     64,                0.95731,                0.83928,                 1.2177,                0.82979,                0.76133,                0.82186,                 0.5299,                 1.3003,                0.93462,                 1.5312,              0.0030841,              0.0030841,              0.0030841
                     65,                0.94987,                0.82434,                 1.2097,                0.84515,                0.75837,                0.84455,                  0.558,                 1.2559,                0.84475,                 1.4555,              0.0029424,              0.0029424,              0.0029424
                     66,                0.93427,                0.82481,                 1.2062,                0.83256,                0.76431,                0.85645,                 0.5683,                  1.219,                0.84579,                 1.4379,              0.0028027,              0.0028027,              0.0028027
                     67,                0.94221,                0.81883,                 1.2064,                0.83758,                0.77296,                 0.8549,                0.57358,                 1.1955,                0.81112,                 1.4197,              0.0026653,              0.0026653,              0.0026653
                     68,                0.90553,                0.78223,                 1.1943,                 0.8071,                0.78493,                0.85042,                0.56304,                 1.2497,                0.87494,                 1.4835,              0.0025302,              0.0025302,              0.0025302
                     69,                0.92794,                0.80955,                  1.206,                 0.7945,                0.77529,                0.83113,                0.52952,                  1.245,                0.89745,                 1.4613,              0.0023977,              0.0023977,              0.0023977
                     70,                0.92006,                  0.801,                 1.2029,                0.84243,                 0.7985,                0.85968,                0.56318,                 1.2624,                0.81697,                 1.4568,              0.0022677,              0.0022677,              0.0022677
